distributorCode,Location,Agency Name,Area,Phone Number
D001,1,AMD & CO,KADACHANENTHAL,97912 47612
D002,1,RAJVARNA TRADERS - POINT 1,SURIYA NAGAR,99652 89610
D003,1,SRI ALAGAR MALAIYAN AGENCY,KALAINAGAR,99437 28213
D004,1,SIVA SRI AGENCY,OTHAKADI,98944 80520
D005,1,SRI VERA VELAVAN AGENCY (Q),THIRUPALAI,98426 76444
D006,1,Star Lucents,THIRUPALAI - EXPORT,99441 23805
D007,1,SUNDARA MAHALINGAM AGENCY,VALARNAGAR,90877 08832
D008,1,LAKSHMI AGENCY,K.PUDUR,95979 52207
D009,1,BISMI AGENCY,PUDHUR,77085 61616
D010,2,FELINA AGENCY,ALANGANALLUR,97892 13956
D011,2,JF FOODS AND DISTRIBUTION,SIKKENDAR CHAVADI,861 079 4178
D012,2,SRI MADURAI MEENAKSHI AGENCIES,ANAIYUR,98945 70569
D013,2,RAJAN AGENCIES 1,ANAIYUR,99443 29836
D014,2,SRI KARUPPASAMY AGENCIES (H),AARAPALAYAM,81247 73049
D015,2,SRI VEERU CHINNAMMAL AGENCIES (B),THATHANERI,99437 75252
D016,2,VEL AGENCY,KOODALNAGAR,95977 66288
D017,2,VPR MARKETING,HMS COLONY,97895 30205
D018,2,SIVANJI FOODS SERVICES,KOODALNAGAR,98421 70134
D019,2,VPS AGENCY,PALAMEDU,97864 96957
D020,3,UMAAS AGENCIES,EAST VELI STREET - WHOLE SALES,93627 23232
D021,3,SAMRAH AGENCY (NO-1),KAZIMAR STREET,90477 78968
D022,3,SHREE AGENCIES,VILLAPURAM,95859 84535
D023,3,K.B.AMUDHA AGENCY,MAHALIPATTI,98655 21189
D024,3,KUMAR AGENCIES,ANUPANADI,7418 228 032
D025,4,SRI HARI AGENCY,THANAKANKULAM,82206 52585
D026,4,CHELLAM TRADERS,TIRUMANGALAM,99448 82862
D027,4,ANANTHA LAKSHMI AGENCY,THIRUPARANKUNDRAM,90038 43552
D028,4,SSR AGENCIES,NAGAMALAIPUDHUKOTTAI,95004 40010
D029,4,MM AGENCIES,AVANIYAPURAM,88707 21984
D030,4,RD AGENCY,AVANIYAPURAM,88708 78004
D031,4,ABHINAV AGENCY,MADURAI WHOLESALES,89399 57804
D032,4,RAJAN AGENCIES,KOTHIYARKUNDU,93441 29366
D033,5,RAJVARNA TRADERS POINT2,THIRUPPUVANAM,99652 89610
